"code","lambdaZ_hat_T","lambdaZ_lo_T","lambdaZ_hi_T"
181,0.00204907867450433,0.000918589472671339,0.0104021560723529
182,0.00200225974006066,0.000926568665662879,0.0104281452439695
183,0.00196941884486351,0.000915440520295229,0.0103849384867927
184,0.00206419418819913,0.000898970125786816,0.0109729833366461
185,0.00201206371278139,0.000909074641666326,0.010792613144347
186,0.00199512707745015,0.000906495535883116,0.0108798748447132
187,0.00193554129879978,0.000907888416618119,0.0105286322294667
188,0.00201462321946035,0.000917643014289494,0.0105776243561882
189,0.00198224077444474,0.000913078331202562,0.0101521787824243
190,0.00196874087966297,0.000921410859216538,0.0105084901455386
191,0.00192194280046608,0.000917349342519208,0.0100556712040923
192,0.00197794374847697,0.000916389039104385,0.0107951486582241
193,0.00192816078163586,0.000921168369472481,0.0106083644344339
194,0.00184078860067477,0.000916912903092148,0.0106006842944537
195,0.00180325041237643,0.000917189645103964,0.0108836132970714
196,0.0019107701437839,0.000918927070725697,0.0105704194766272
197,0.00187980744419601,0.000919016961962729,0.0103010384177904
198,0.00180149767991883,0.00093523320411293,0.0105392788091677
199,0.00177540290482657,0.000922618262670243,0.0109727775487515
200,0.00189329307330765,0.000907274292132161,0.0107170819946351
201,0.00186533543031426,0.000905281754636959,0.0103434035293439
202,0.00177868018890443,0.000913229280153549,0.0102527533445339
203,0.00174967843943683,0.000913198275639678,0.0109814877360623
204,0.00184908051815511,0.000907179283436588,0.0108698098362205
205,0.00183015634682899,0.000915839744670988,0.00992870771859764
206,0.00174931234555381,0.000922384459137455,0.0100012064750609
207,0.00172578049911739,0.000916615258186397,0.00997222289861992
208,0.00214124974251103,0.000915664959284709,0.0107239744963479
209,0.00208376192181748,0.000901618027031763,0.0108313677129014
210,0.00201557836452836,0.000915880645845922,0.0124794272876278
211,0.00197256686046126,0.000918009436913567,0.0120757366631583
212,0.00204135615658449,0.000909547218779459,0.0116902806528107
213,0.00201140455177403,0.000907896562385973,0.010997302528568
214,0.00195633257893077,0.000924392842598174,0.0115222335386866
215,0.00193124435879225,0.000920080992874817,0.010615890133195
216,0.002034161843606,0.000912045748065354,0.0131530606581089
217,0.00199741860375034,0.000910572514887104,0.0108178052401634
218,0.00194546244221553,0.000911009121304069,0.0108166118883985
219,0.00190741650387317,0.000914563711065489,0.0107485085844497
220,0.00196313414400735,0.000911316682632745,0.0110837958687342
221,0.00194066659441251,0.000912870519676336,0.0104649295398969
222,0.00189921986488882,0.000926624022985137,0.0106048025744145
223,0.00187098665642436,0.000917595535406923,0.010767766108909
224,0.00191317302758695,0.000914295256784613,0.0123387203619503
225,0.00186859787252404,0.000916875017911491,0.0119052987063024
226,0.00178978297763839,0.000919208891245422,0.012828730534096
227,0.00175728923428107,0.000915517151304134,0.0111547558002077
228,0.00186658787678487,0.000917425695510697,0.0114668852660881
229,0.0018453684150562,0.000918427777148745,0.0119019621237649
230,0.00176698286209478,0.000921709983729416,0.0110836353762387
231,0.00174968600631539,0.000918505816462326,0.0108383537935911
232,0.00182623780865224,0.000918482746332956,0.0105211284896413
233,0.00180536847760241,0.00091279173850216,0.0107597383539268
234,0.00172847454020399,0.000907141459675079,0.0117980276794479
235,0.00170846389004256,0.00091113586168316,0.010438708622882
236,0.00179700272594921,0.000912623507081302,0.0118680776947576
237,0.00178567116162577,0.000914532824039956,0.0109684956674661
238,0.00171349779248391,0.000920675267828798,0.00998434790711755
239,0.00169897158291685,0.000923309204235526,0.0118356118389619
240,0.0020830442176417,0.000908527368073283,0.0109088079677651
