"x","loc_int","code","mu"
0,138,138,0.000979316407627268
1,138,394,0.000965790960596828
2,138,650,0.000966399296789593
3,138,906,0.000950482005345589
0,139,139,0.000961483120440951
1,139,395,0.000946876863159286
2,139,651,0.000955767491516165
3,139,907,0.000938150410492063
0,140,140,0.0010581296754895
1,140,396,0.00105224548630438
2,140,652,0.0010554031623217
3,140,908,0.0010465641310438
0,141,141,0.00103724085631956
1,141,397,0.00103171078632916
2,141,653,0.00104820818873663
3,141,909,0.00103907155168446
0,142,142,0.00105155501985064
1,142,398,0.0010457941618867
2,142,654,0.00105303191238577
3,142,910,0.00104065303150395
0,143,143,0.00103185842743296
1,143,399,0.00102510310536886
2,143,655,0.00104228038230196
3,143,911,0.0010293524209347
0,144,144,0.0010417533098154
1,144,400,0.00104665649510525
2,144,656,0.00102591757796248
3,144,912,0.00103197767190654
0,145,145,0.00101156315016392
1,145,401,0.00101427893112839
2,145,657,0.00100305339004692
3,145,913,0.00100649753474419
0,146,146,0.00101594043395258
1,146,402,0.00101593452577627
2,146,658,0.000998366080855494
3,146,914,0.00099674814810188
0,147,147,0.000986567406499847
1,147,403,0.000985726069417857
2,147,659,0.000974178595180146
3,147,915,0.000971909551612716
0,148,148,0.00110898064820649
1,148,404,0.00111930076987184
2,148,660,0.00109872964850934
3,148,916,0.00110618921861691
0,149,149,0.0010741516365212
1,149,405,0.00108356356492374
2,149,661,0.00107563971616157
3,149,917,0.00108246455016557
0,150,150,0.00108199714917225
1,150,406,0.00108763821174389
2,150,662,0.00107543062091416
3,150,918,0.00107623392881903
0,151,151,0.00104829467817951
1,151,407,0.00105424777646311
2,151,663,0.00104933961699132
3,151,919,0.00105142730442451
0,152,152,0.0010015496253128
1,152,408,0.000993443038736824
2,152,664,0.000986619311850876
3,152,920,0.000978488547096358
0,153,153,0.000981591996560636
1,153,409,0.000972898118986304
2,153,665,0.00097519199182854
3,153,921,0.000965324471918144
0,154,154,0.000975650472851667
1,154,410,0.000966089162808505
2,154,666,0.000961934304332086
3,154,922,0.000949737453088478
0,155,155,0.000959359448822044
1,155,411,0.000947649176434834
2,155,667,0.000951346680796832
3,155,923,0.00093648882584615
0,156,156,0.00107747378945879
1,156,412,0.00107484872806022
2,156,668,0.00107232323622329
3,156,924,0.00106583736455248
0,157,157,0.00105339181752965
1,157,413,0.00105158354057948
2,157,669,0.00106148007280103
3,157,925,0.00105506847875083
0,158,158,0.00104990780756919
1,158,414,0.00104620263607898
2,158,670,0.00105008068146355
3,158,926,0.0010400522660156
0,159,159,0.00102883208115504
1,159,415,0.00102419344412813
2,159,671,0.00103759205394394
3,159,927,0.00102668699563044
0,160,160,0.000989797251474011
1,160,416,0.00098111159148955
2,160,672,0.000982350480656159
3,160,928,0.000973498710634901
0,161,161,0.000970724731867677
1,161,417,0.000958269299414086
2,161,673,0.000973062255344936
3,161,929,0.000959804252531713
0,162,162,0.000989480318728006
1,162,418,0.0009788419136749
2,162,674,0.00097993945028238
3,162,930,0.000966098851217437
0,163,163,0.000964564442869146
1,163,419,0.000950360324988755
2,163,675,0.000961125737591021
3,163,931,0.000943968450581435
0,164,164,0.00105502840259479
1,164,420,0.00105280674619224
2,164,676,0.00105629423928875
3,164,932,0.00105016742058042
0,165,165,0.00103484167342079
1,165,421,0.00102929664674374
2,165,677,0.0010475864108329
3,165,933,0.00103820685829442
0,166,166,0.00105658620675135
1,166,422,0.0010520611897359
2,166,678,0.00106042950728383
3,166,934,0.00104935300653888
0,167,167,0.00103082062855806
1,167,423,0.0010229936401929
2,167,679,0.00104076628907855
3,167,935,0.00102758196358254
0,168,168,0.000950619979319268
1,168,424,0.00093370845426846
2,168,680,0.000946711357331473
3,168,936,0.00093023130884922
0,169,169,0.000935833515738602
1,169,425,0.000915374390086018
2,169,681,0.000942177730686487
3,169,937,0.000920930405856051
0,170,170,0.000949974773359276
1,170,426,0.000934888721148392
2,170,682,0.00094506708638104
3,170,938,0.000927525029885133
0,171,171,0.000930725137943605
1,171,427,0.00090998397767226
2,171,683,0.000932864775968967
3,171,939,0.000909209454254095
0,172,172,0.00102376877077261
1,172,428,0.00101350136919565
2,172,684,0.00103310943809448
3,172,940,0.00101957471122086
0,173,173,0.00100905688727521
1,173,429,0.000995376606885433
2,173,685,0.00103110918276698
3,173,941,0.00101346816474063
0,174,174,0.00102512279980122
1,174,430,0.00101666638331378
2,174,686,0.00103638181457048
3,174,942,0.0010215249868821
0,175,175,0.00100518623330597
1,175,431,0.000990904250853397
2,175,687,0.00102441461903829
3,175,943,0.00100404871901264
0,176,176,0.000999872801650125
1,176,432,0.00099738185543824
2,176,688,0.000991723594361141
3,176,944,0.000988996309683519
0,177,177,0.000978514302585145
1,177,433,0.000970287960738051
2,177,689,0.000976775008514344
3,177,945,0.000968113875404294
0,178,178,0.000982530132936751
1,178,434,0.000977584523466148
2,178,690,0.000973170539557534
3,178,946,0.000965367425926798
0,179,179,0.000956026499496387
1,179,435,0.000945827049744406
2,179,691,0.000950193618745811
3,179,947,0.0009375531892843
0,180,180,0.00106984481633763
1,180,436,0.00107165381983196
2,180,692,0.00107061650082957
3,180,948,0.00106853563759384
0,181,181,0.00104489213993255
1,181,437,0.00104290219568198
2,181,693,0.00105562398309737
3,181,949,0.00104965541578408
0,182,182,0.00105292723690098
1,182,438,0.00105178478498323
2,182,694,0.00105680012951088
3,182,950,0.00105000967649635
0,183,183,0.00102257510409937
1,183,439,0.00101767796636956
2,183,695,0.00103144091401418
3,183,951,0.0010215714858203
0,184,184,0.000963685489846608
1,184,440,0.000950319317354105
2,184,696,0.000960187929153934
3,184,952,0.000946463805847582
0,185,185,0.000950924155646187
1,185,441,0.000933471763451504
2,185,697,0.000954844534605044
3,185,953,0.000936415110354212
0,186,186,0.000947599820594195
1,186,442,0.000935089694498014
2,186,698,0.000944254810188511
3,186,954,0.000929094104295692
0,187,187,0.000932193769059257
1,187,443,0.000913363896442808
2,187,699,0.00093312225204319
3,187,955,0.000911600509541256
0,188,188,0.0010419637294216
1,188,444,0.00103337800361812
2,188,700,0.00105193956404764
