"code","lambdaZM_hat_T","lambdaZM_lo_T","lambdaZM_hi_T"
182,4.08567497909312e-05,1.92113042075672e-05,0.000179526976800907
183,4.01866208305699e-05,1.89950133351143e-05,0.00018263604091305
184,4.21205419955111e-05,1.84925662406762e-05,0.000197561778994639
185,4.10568029870246e-05,1.87468530858328e-05,0.000168395618847114
186,4.07112055312181e-05,1.84590296448335e-05,0.00016849424814821
187,3.94953386780283e-05,1.83691962732945e-05,0.000155874741746775
188,4.11090305386645e-05,1.91090954742012e-05,0.000167812898871607
189,4.04482564007489e-05,1.86249574270833e-05,0.000178527976373496
190,4.01727867340184e-05,1.885213000753e-05,0.000142030113368558
191,3.92178569743132e-05,1.90526986960881e-05,0.00017443389867347
192,4.03605742128201e-05,1.79108139694575e-05,0.000195355605941056
193,3.93447368669541e-05,1.83677609361335e-05,0.000177120236032688
194,3.75618795958456e-05,1.78558988031814e-05,0.000176423323958777
195,3.6795900868798e-05,1.80912667394684e-05,0.000192717027503301
196,3.89898753446421e-05,1.79134642296791e-05,0.000195588275138645
197,3.83580715658397e-05,1.80586252904837e-05,0.00020687001377066
198,3.67601358029388e-05,1.81413911981844e-05,0.000211578962670677
199,3.62276635789492e-05,1.83009123621156e-05,0.000223903032084791
200,3.86332501370129e-05,1.77450303834084e-05,0.000190793825422536
201,3.80627654982465e-05,1.7931022421066e-05,0.000168106920172414
202,3.62945376077696e-05,1.7819621862935e-05,0.000209210708123745
203,3.57027476427668e-05,1.78432669497666e-05,0.000181975558562479
204,3.77310788216018e-05,1.81070584439971e-05,0.000207732465009713
205,3.73449250587296e-05,1.80021605692597e-05,0.000184300905714468
206,3.56952773801034e-05,1.79031303557865e-05,0.000177941697211407
207,3.52151025342854e-05,1.77710986625447e-05,0.000205399538961429
208,4.36928852033048e-05,1.84336874085156e-05,0.000169311800848403
209,4.2519827852598e-05,1.8087282948846e-05,0.00020198123218373
210,4.11285205789809e-05,1.82837693688626e-05,0.000184977625589779
211,4.02508570947479e-05,1.84256082731547e-05,0.000167278057399197
212,4.16545246628307e-05,1.81981196672155e-05,0.000205532241462483
213,4.10433525960434e-05,1.83651644201019e-05,0.000202786387075952
214,3.99195913926733e-05,1.81711911689971e-05,0.000227602908735938
215,3.94076582441457e-05,1.86110795426737e-05,0.000214893753963077
216,4.15077224076592e-05,1.77837899321497e-05,0.000178831049571279
217,4.07579648575997e-05,1.82134681264329e-05,0.000168290272490606
218,3.96977827795938e-05,1.80855294386748e-05,0.000170886133831433
219,3.89214432506535e-05,1.86544729944436e-05,0.000177189645200814
220,4.00583795014089e-05,1.84792193546119e-05,0.000169065162469504
221,3.9599921972725e-05,1.85492204852342e-05,0.000204924891683482
222,3.87541882130527e-05,1.8204070423772e-05,0.000177172365135451
223,3.81780805727959e-05,1.82251183817466e-05,0.000170434693596204
224,3.90389069564524e-05,1.8078197978377e-05,0.000187779989179081
225,3.81293366740063e-05,1.85925001486569e-05,0.000199324141803196
226,3.65210935596319e-05,1.79129126747654e-05,0.000172906754569983
227,3.585804834349e-05,1.81634080252706e-05,0.000177571895204612
228,3.80883220686815e-05,1.81560130428721e-05,0.000214551673637243
229,3.76553321717164e-05,1.80974550548619e-05,0.000207544481401407
230,3.60558499164963e-05,1.83055294613459e-05,0.000191045450300956
231,3.57029020473417e-05,1.82090731468295e-05,0.000212949118263707
232,3.72649660351172e-05,1.78600436982052e-05,0.000205787633837847
233,3.68391206665333e-05,1.8211606698811e-05,0.000167098671354823
234,3.52700753035018e-05,1.80160147724978e-05,0.000177750334507708
235,3.48617515928254e-05,1.82220457484378e-05,0.000152280720342217
236,3.66684148308869e-05,1.81235369688042e-05,0.000254746254114244
237,3.64371906400193e-05,1.81916000982482e-05,0.000207899213907824
238,3.49644699806566e-05,1.8323824930138e-05,0.000203845213806898
239,3.4668058032787e-05,1.78353979222439e-05,0.000183099228851589
240,4.25051828695586e-05,1.85178408922071e-05,0.000199298525949693
241,4.16042441415791e-05,1.85996278972226e-05,0.000201609821195771
242,4.02592505388805e-05,1.84552733590025e-05,0.000172577849692411
243,3.95998929025785e-05,1.82304789311256e-05,0.00021013367012531
244,4.10517973717197e-05,1.84371793361438e-05,0.000165746753776305
245,4.07823568298814e-05,1.83721314069612e-05,0.000211134678006104
246,3.95483403651716e-05,1.81263238342417e-05,0.000211162658602667
247,3.93039934839005e-05,1.83121462750633e-05,0.000221161385874074
248,4.04122702515532e-05,1.7948046901473e-05,0.000175903957532959
249,3.99881371699226e-05,1.82578213146392e-05,0.000155866648361093
250,3.8922076561702e-05,1.84834314884378e-05,0.000154070387093234
251,3.84535037224501e-05,1.80115694783783e-05,0.000165836383412643
252,3.93998017491727e-05,1.85288753740402e-05,0.000200281766129018
253,3.9258839853846e-05,1.84593445968933e-05,0.000170135290263638
254,3.84134637266936e-05,1.84309326464049e-05,0.000173769510631126
255,3.81270163595239e-05,1.79610950188134e-05,0.000205370165319047
256,4.66591223334085e-05,1.78264961688021e-05,0.000187780688524829
257,4.45181050788224e-05,1.80432566077312e-05,0.0001837348685084
258,4.24167784120347e-05,1.8130739202189e-05,0.000207213782030664
259,4.07096415177382e-05,1.86240718371721e-05,0.000194686345226653
260,4.4538173450026e-05,1.82550973770045e-05,0.000176962254509798
261,4.32543174691918e-05,1.87277104300908e-05,0.000173552721964213
262,4.13450045446008e-05,1.87693778670218e-05,0.000191665875159973
263,4.02437413829017e-05,1.86415143304873e-05,0.000184899540843364
264,4.44802773131683e-05,1.83762882632386e-05,0.00018998885874775
265,4.31539510202876e-05,1.87178040508952e-05,0.000189973887188731
266,4.09341563618021e-05,1.89200928506351e-05,0.000185620887074921
267,3.96736402649921e-05,1.84947815996371e-05,0.000187033030493013
268,4.3535321325702e-05,1.83537473785654e-05,0.000167596564637929
269,4.28548722164117e-05,1.8751693380664e-05,0.000196853507579969
270,4.05537166945723e-05,1.87274069443843e-05,0.000173262502704859
271,3.97641628922676e-05,1.88016119438025e-05,0.000161463837271967
