"code","lambdaZ_hat_T","lambdaZ_lo_T","lambdaZ_hi_T"
422,0.00177862717846146,0.000915619707216966,0.00864063214655252
423,0.00173168896304064,0.000891920506240773,0.00944195620631309
424,0.00187245489181424,0.000873051967584551,0.00962030322635323
425,0.00181476889965841,0.000896119455388537,0.00805700660094026
426,0.00178420098294608,0.000870920135031516,0.00833484121942155
427,0.00172473586969441,0.000890967486107298,0.00697078408942988
428,0.00183187302142443,0.000880725709383495,0.00927657852193808
429,0.00179401552522474,0.000887890287346501,0.00956204042058009
430,0.00176086443515019,0.000889735061999209,0.00951009893858729
431,0.00171532229538629,0.000901336863204734,0.00819115735986616
432,0.00211424963795937,0.000893487381831838,0.00951671890325672
433,0.0020270263748085,0.000926175546829241,0.0079385059255486
434,0.0020126287799059,0.000913659499893797,0.00767629980985476
435,0.00193522667682794,0.000882638425683706,0.00902767661902352
436,0.00202023638286863,0.000924981485687346,0.00776693429775338
437,0.00197081299222579,0.000908465240803575,0.00824896836091109
438,0.00195913011054091,0.000917784233398729,0.00866327875228494
439,0.00190853812481171,0.000919829524173709,0.00908586538647818
440,0.00204022349527246,0.000901898365324406,0.00843498608868608
441,0.00197329208545685,0.000887545830099937,0.00724000878513709
442,0.00198282080911182,0.000880926975719972,0.00793895165390885
443,0.00190873389602453,0.000888120741528535,0.00739535817186351
444,0.00197205851927776,0.000905124195499668,0.00936314599116208
445,0.00192818077921577,0.000909952676504151,0.00739179843882384
446,0.00194142694909688,0.000919864684078876,0.00795073157619006
447,0.00188502233744829,0.000941319558322944,0.00767232721056728
448,0.00194432215754759,0.000881385163325501,0.00880554869359108
449,0.00188952470411329,0.00088495526740319,0.00757932844009067
450,0.00181755403096974,0.000879270800616127,0.00857996186690522
451,0.00177174696038455,0.000896768979607976,0.00957618648887721
452,0.00187413442485069,0.00088391451536678,0.00971852208750207
453,0.00183767678868612,0.000891235119985121,0.00885887351623259
454,0.00178045882868068,0.000881014028016859,0.00886057301968021
455,0.00174648069450858,0.00089520005338659,0.00957766440852011
456,0.00186503215836707,0.000873337585269011,0.0104204159753253
457,0.00183502606038309,0.000887875864806527,0.00810665185256996
458,0.00176015563458838,0.000874628318897253,0.00865414993297945
459,0.00172636230732184,0.000885552149884497,0.00776177681997357
460,0.00181814288999058,0.000870717362924884,0.00965621484420761
461,0.00179998465033303,0.000880066326639746,0.00826787638321031
462,0.00173256829057681,0.000885985164809393,0.0101811651506803
463,0.00170748304268233,0.000870324735305707,0.0088550876863678
464,0.00211163701245123,0.000883053580695769,0.0079094709824278
465,0.00204344092894911,0.000894554354421581,0.00896441432400197
466,0.00199291985466364,0.000884796880958778,0.0075848745125886
467,0.00193714334434988,0.000897814787803465,0.0094163133374333
468,0.0019953553698173,0.000877120331090524,0.00844322293143176
469,0.00195397289206629,0.000899380865450752,0.00993076349788521
470,0.00192207652062278,0.00089374351111288,0.00907477084426747
471,0.00188496641025737,0.000918715008134002,0.00856819564133656
472,0.00201003703422874,0.000869349084765236,0.00854822797967527
473,0.00196720210605817,0.000902918015004735,0.00706916765639256
474,0.00192985902385168,0.000882567660367859,0.00758624698269397
475,0.0018835930887823,0.000918820805231235,0.00904050769981399
476,0.00192380745943657,0.000894118734608075,0.00849612077959466
